iteration,loss_gen_a_identity,loss_gen_b_identity,loss_gen_a_translate,loss_gen_b_translate,loss_gen_adv_a,loss_gen_adv_b,loss_gen_a_content,loss_gen_b_content,loss_gen_a_identity_content,loss_gen_b_identity_content,loss_gen_aba_noise,loss_gen_a_identity_noise,loss_dis_a,loss_dis_b,loss_gen_diversity
5300,"tensor(0.0172, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0101, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0283, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0124, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.6474, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.6555, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0695, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0687, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0297, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0492, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0031, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0018, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.2373, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.3208, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.6388, device='cuda:1', grad_fn=<MeanBackward0>)"
5400,"tensor(0.0156, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0104, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0265, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0136, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.6247, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.2914, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0634, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0624, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0287, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0461, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0029, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0017, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.2863, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.3854, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1672, device='cuda:1', grad_fn=<MeanBackward0>)"
5500,"tensor(0.0080, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0103, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0193, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0133, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.6420, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.6753, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0639, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0612, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0233, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0433, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0015, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0009, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.3855, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.4372, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1980, device='cuda:1', grad_fn=<MeanBackward0>)"
5600,"tensor(0.0051, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0101, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0133, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0139, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.6496, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.5101, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0545, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0631, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0170, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0431, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0017, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0006, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.2400, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.3518, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1388, device='cuda:1', grad_fn=<MeanBackward0>)"
5700,"tensor(0.0088, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0111, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0117, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0119, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.6894, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.5026, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0489, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0533, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0311, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0475, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0009, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0005, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.4112, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.3909, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.5010, device='cuda:1', grad_fn=<MeanBackward0>)"
5800,"tensor(0.0105, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0103, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0258, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0157, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.6770, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.4096, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0701, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0743, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0252, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0464, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0028, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0006, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.1428, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1958, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.4150, device='cuda:1', grad_fn=<MeanBackward0>)"
5900,"tensor(0.0115, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0112, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0223, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0121, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.4159, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.4669, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0605, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0678, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0251, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0528, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0021, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0015, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.1822, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.3042, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.3215, device='cuda:1', grad_fn=<MeanBackward0>)"
6000,"tensor(0.0064, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0111, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0194, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0141, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.7380, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.5446, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0635, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0780, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0214, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0654, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0016, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0007, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.4068, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.3047, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.4176, device='cuda:1', grad_fn=<MeanBackward0>)"
6100,"tensor(0.0082, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0115, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0109, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0151, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(1.1229, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.6638, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0493, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0748, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0249, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0584, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0008, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0003, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.2986, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.2196, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.3463, device='cuda:1', grad_fn=<MeanBackward0>)"
6200,"tensor(0.0068, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0120, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0155, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0160, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.5762, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.7919, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0516, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0734, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0175, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0541, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0014, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0006, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.3174, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.3086, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.2962, device='cuda:1', grad_fn=<MeanBackward0>)"
6300,"tensor(0.0072, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0097, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0184, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0142, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.6458, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.6507, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0617, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0664, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0182, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0419, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0018, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0005, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.1059, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.2962, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.6620, device='cuda:1', grad_fn=<MeanBackward0>)"
6400,"tensor(0.0096, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0102, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0182, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0133, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.2348, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.8390, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0622, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0687, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0214, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0507, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0024, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0008, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.6235, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.4042, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.3403, device='cuda:1', grad_fn=<MeanBackward0>)"
6500,"tensor(0.0068, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0099, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0211, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0120, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.4330, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.3278, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0639, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0557, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0188, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0409, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0017, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0007, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.4075, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.3034, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.6842, device='cuda:1', grad_fn=<MeanBackward0>)"
6600,"tensor(0.0058, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0115, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0109, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0138, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.3119, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.5088, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0465, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0603, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0185, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0503, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0011, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0005, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.4118, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.3721, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.3382, device='cuda:1', grad_fn=<MeanBackward0>)"
6700,"tensor(0.0110, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0113, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0175, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0125, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.6179, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.6802, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0607, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0606, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0250, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0455, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0020, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0006, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.2990, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.2411, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.5625, device='cuda:1', grad_fn=<MeanBackward0>)"
6800,"tensor(0.0053, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0101, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0141, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0123, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.3166, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.8692, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0564, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0679, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0179, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0524, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0013, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0005, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.2666, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.2451, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.7242, device='cuda:1', grad_fn=<MeanBackward0>)"
6900,"tensor(0.0077, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0111, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0223, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0106, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.4328, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.5504, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0595, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0571, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0180, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0487, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0028, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0011, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.2778, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1947, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.4110, device='cuda:1', grad_fn=<MeanBackward0>)"
7000,"tensor(0.0103, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0125, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0254, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0162, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.8115, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.3579, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0630, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0757, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0205, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0565, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0025, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0005, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.2235, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.3190, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1765, device='cuda:1', grad_fn=<MeanBackward0>)"
7100,"tensor(0.0086, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0108, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0092, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0128, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.4162, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.3861, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0562, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0724, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0581, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0620, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0012, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0011, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.2353, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.2287, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.3926, device='cuda:1', grad_fn=<MeanBackward0>)"
7200,"tensor(0.0114, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0105, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0236, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0111, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.3862, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.3890, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0615, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0530, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0249, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0444, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0020, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0007, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.3698, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.4525, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1373, device='cuda:1', grad_fn=<MeanBackward0>)"
7300,"tensor(0.0065, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0109, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0101, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0122, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.5327, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.4939, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0512, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0568, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0247, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0425, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0010, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0005, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.1868, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.3504, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.5239, device='cuda:1', grad_fn=<MeanBackward0>)"
7400,"tensor(0.0054, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0114, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0186, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0156, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.4860, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.8082, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0563, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0781, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0179, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0595, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0017, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0008, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.6035, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.3396, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.2664, device='cuda:1', grad_fn=<MeanBackward0>)"
7500,"tensor(0.0129, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0111, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0259, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0153, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.2477, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.4390, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0766, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0664, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0385, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0462, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0020, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0012, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.3481, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.3111, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.6420, device='cuda:1', grad_fn=<MeanBackward0>)"
7600,"tensor(0.0061, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0103, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0199, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0114, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.3412, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.4155, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0588, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0568, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0197, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0413, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0020, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0006, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.2497, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.3628, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.6702, device='cuda:1', grad_fn=<MeanBackward0>)"
7700,"tensor(0.0050, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0106, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0160, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0129, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.4947, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.4205, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0572, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0659, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0170, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0478, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0020, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0007, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.3233, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.2017, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.4457, device='cuda:1', grad_fn=<MeanBackward0>)"
7800,"tensor(0.0125, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0103, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0256, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0115, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.5774, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.6772, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0624, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0619, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0274, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0480, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0021, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0014, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.2867, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.2617, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.5827, device='cuda:1', grad_fn=<MeanBackward0>)"
7900,"tensor(0.0058, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0112, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0217, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0125, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.4842, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.4474, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0569, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0615, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0169, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0528, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0024, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0005, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.4380, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.2582, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.9889, device='cuda:1', grad_fn=<MeanBackward0>)"
