iteration,loss_gen_a_identity,loss_gen_b_identity,loss_gen_a_translate,loss_gen_b_translate,loss_gen_adv_a,loss_gen_adv_b,loss_gen_a_content,loss_gen_b_content,loss_gen_a_identity_content,loss_gen_b_identity_content,loss_gen_aba_noise,loss_gen_a_identity_noise,loss_dis_a,loss_dis_b,loss_gen_diversity
1000,"tensor(0.0316, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0173, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0316, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0183, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.7166, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.3487, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0727, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0530, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0595, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0485, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0045, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0034, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.2658, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.2957, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.2395, device='cuda:1', grad_fn=<MeanBackward0>)"
1100,"tensor(0.0192, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0164, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0221, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0147, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.6158, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.4977, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0715, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0453, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0574, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0498, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0041, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0030, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.1767, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.3345, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.6695, device='cuda:1', grad_fn=<MeanBackward0>)"
1200,"tensor(0.0211, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0177, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0190, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0165, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.4352, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.3627, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0563, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0545, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0487, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0541, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0022, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0013, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.2345, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.3940, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.4606, device='cuda:1', grad_fn=<MeanBackward0>)"
1300,"tensor(0.0219, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0172, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0354, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0182, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.5242, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.5728, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0614, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0540, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0399, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0527, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0052, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0020, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.2442, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.4596, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.5524, device='cuda:1', grad_fn=<MeanBackward0>)"
1400,"tensor(0.0345, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0154, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0463, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0153, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.5623, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.5064, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0934, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0492, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0633, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0482, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0057, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0023, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.4083, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.3604, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.4397, device='cuda:1', grad_fn=<MeanBackward0>)"
1500,"tensor(0.0113, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0178, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0117, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0174, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.5292, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.4760, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0481, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0561, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0434, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0540, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0012, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0011, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.1173, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.3530, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.4402, device='cuda:1', grad_fn=<MeanBackward0>)"
1600,"tensor(0.0522, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0135, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0550, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0145, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.6491, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.5511, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0846, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0508, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0800, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0452, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0050, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0035, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.2261, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.3855, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.3427, device='cuda:1', grad_fn=<MeanBackward0>)"
1700,"tensor(0.0189, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0135, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0353, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0157, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.4119, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.3828, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0723, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0547, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0372, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0436, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0054, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0026, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.1437, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.3351, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.2659, device='cuda:1', grad_fn=<MeanBackward0>)"
1800,"tensor(0.0104, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0162, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0159, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0188, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.8094, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.2655, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0499, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0703, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0296, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0524, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0022, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0011, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.2311, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1596, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1820, device='cuda:1', grad_fn=<MeanBackward0>)"
1900,"tensor(0.0168, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0159, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0176, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0163, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.3041, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.5748, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0601, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0604, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0542, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0579, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0022, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0011, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.3361, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1502, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.9478, device='cuda:1', grad_fn=<MeanBackward0>)"
2000,"tensor(0.0145, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0139, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0180, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0165, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.2812, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.2690, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0651, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0563, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0430, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0449, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0031, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0016, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.1869, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.3158, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.3729, device='cuda:1', grad_fn=<MeanBackward0>)"
2100,"tensor(0.0183, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0150, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0310, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0150, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.6669, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.5029, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0731, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0543, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0434, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0518, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0054, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0022, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.1215, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.4618, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.2594, device='cuda:1', grad_fn=<MeanBackward0>)"
2200,"tensor(0.0251, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0136, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0458, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0159, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.3423, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.4457, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0943, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0560, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0480, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0467, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0038, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0015, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.2951, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.3767, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.4653, device='cuda:1', grad_fn=<MeanBackward0>)"
2300,"tensor(0.0147, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0132, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0169, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0155, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.7859, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.2134, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0475, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0578, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0321, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0489, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0016, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0012, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.3375, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.3008, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.2063, device='cuda:1', grad_fn=<MeanBackward0>)"
2400,"tensor(0.0194, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0129, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0296, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0152, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.5161, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.2801, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0782, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0572, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0435, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0461, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0028, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0015, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.3343, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.1946, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.4838, device='cuda:1', grad_fn=<MeanBackward0>)"
2500,"tensor(0.0116, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0140, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0149, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0151, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.1504, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.3386, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0548, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0586, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0271, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0521, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0018, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0005, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.1981, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.5476, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.6798, device='cuda:1', grad_fn=<MeanBackward0>)"
